PluginID;Name;Type
-1;<unnamed>;0
12;Static Text;18
15;Integer;18
19;Float;18
22;Time;18
23;Vector;18
130;String;18
222;Untriangulate;11
222;Untriangulate;Command
222;Untriangulate;Tool
1100;TIF;14
1101;TGA;14
1102;BMP;14
1103;IFF;14
1104;JPG;14
1105;PICT;14
1106;PSD;14
1107;RLA;14
1108;RPF;14
1109;BodyPaint 3D (B3D);13
1109;BodyPaint 3D (B3D);14
1111;PSB;14
1125;MP4;14
5100;Polygon;Object
5102;Light;Object
5102;Light;Command
5103;Camera;Object
5103;Camera;Command
5104;Floor;Object
5104;Floor;Command
5105;Sky;Object
5105;Sky;Command
5106;Environment;Object
5106;Environment;Command
5107;Loft;Object
5107;Loft;Command
5108;FFD;Command
5108;FFD;Object
5109;Emitter (Legacy);Command
5109;Emitter (Legacy);Object
5110;Deflector;Object
5110;Deflector;Command
5111;Gravity;Command
5111;Gravity;Object
5112;Rotation;Command
5112;Rotation;Object
5113;Wind;Object
5113;Wind;Command
5114;Friction;Object
5114;Friction;Command
5115;Turbulence;Command
5115;Turbulence;Object
5116;Extrude;Object
5116;Extrude;Command
5117;Lathe;Object
5117;Lathe;Command
5118;Sweep;Object
5118;Sweep;Command
5119;Attractor;Command
5119;Attractor;Object
5120;Bezier;Command
5120;Bezier;Object
5121;Foreground;Object
5121;Foreground;Command
5122;Background;Object
5122;Background;Command
5124;Destructor;Object
5124;Destructor;Command
5125;Metaball;Object
5125;Metaball;Command
5126;Instance;Object
5126;Instance;Command
5128;Bend;Object
5128;Bend;Command
5129;Bulge;Object
5129;Bulge;Command
5131;Shear;Object
5131;Shear;Command
5133;Taper;Object
5133;Taper;Command
5134;Twist;Command
5134;Twist;Object
5136;Stage;Command
5136;Stage;Object
5140;Null;Object
5140;Null;Command
5142;Symmetry;Object
5143;Wrap;Object
5143;Wrap;Command
5145;Explosion;Command
5145;Explosion;Object
5146;Formula;Command
5146;Formula;Object
5147;Melt;Command
5147;Melt;Object
5148;Shatter;Command
5148;Shatter;Object
5149;Wind;Command
5149;Wind;Object
5150;Array;Command
5150;Array;Object
5153;WorkPlane;Object
5159;Cube;Object
5159;Cube;Command
5160;Sphere;Object
5160;Sphere;Command
5161;Platonic;Command
5161;Platonic;Object
5162;Cone;Command
5162;Cone;Object
5163;Torus;Object
5163;Torus;Command
5164;Disc;Object
5164;Disc;Command
5165;Tube;Command
